cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
CVE-2021-32297,INDEP_CONTRADICTION,N,N,0.6808,cve-project;epss;ghsa-reviewed;osv-GIT;osv-PyPI;pypa,n/a:n/a,An issue was discovered in LIEF through 0.11.4. A heap-buffer-overflow exists in the function main located in pe_reader.c. It allows an attacker to cause code Execution.,GHSA-22X7-VWH9-5W4G;PYSEC-2021-324,,,,package=lief ghsa-reviewed-fixes=['0.11.0'] pypa-fixes=['0.11.5']
CVE-2024-34528,INDEP_CONTRADICTION,N,N,0.0844,cve-project;epss;ghsa-reviewed;osv-GIT;osv-PyPI;pypa,n/a:n/a,WordOps through 3.20.0 has a wo/cli/plugins/stack_pref.py TOCTOU race condition because the conf_path os.open does not use a mode parameter during file creation.,GHSA-23QQ-P4GQ-GC2G;PYSEC-2024-175,,,,package=wordops ghsa-reviewed-fixes=['3.21.0'] pypa-fixes=['3.21.3']
CVE-2023-39508,INDEP_CONTRADICTION,N,N,0.6515,cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-PyPI;pypa,Apache Software Foundation:Apache Airflow,"Execution with Unnecessary Privileges, : Exposure of Sensitive Information to an Unauthorized Actor vulnerability in Apache Software Foundation Apache Airflow.The ""Run Task"" feature enables authenticated user to bypass some of the restrictions put in place. It allows to execute code in the webserver",BIT-AIRFLOW-2023-39508;GHSA-269X-PG5C-5XGM;PYSEC-2023-134,,,,package=apache-airflow ghsa-reviewed-fixes=['2.6.0b1'] pypa-fixes=['2.6.0']
CVE-2022-0697,INDEP_CONTRADICTION,N,N,0.4082,cve-project;epss;ghsa-reviewed;osv-GIT;osv-PyPI;pypa,archivy:archivy/archivy,Open Redirect in GitHub repository archivy/archivy prior to 1.7.0.,GHSA-28MG-98XM-Q493;PYSEC-2022-161,,,,package=archivy ghsa-reviewed-fixes=['1.7.1'] pypa-fixes=['1.7.0']
CVE-2020-25592,INDEP_CONTRADICTION,N,N,0.9758,cve-project;epss;ghsa-reviewed;osv-GIT;osv-PyPI;pypa,n/a:n/a,"In SaltStack Salt through 3002, salt-netapi improperly validates eauth credentials and tokens. A user can bypass authentication and invoke Salt SSH.",GHSA-29J3-2446-5J4W;PYSEC-2020-106,,,,"package=salt ghsa-reviewed-fixes=['2015.8.13', '2016.11.10', '2016.3.8', '2017.7.8', '2018.3.5', '2019.2.7', '3000.5', '3001.3', '3002.1'] pypa-fixes=['2015.8.10', '2015.8.13', '2016.11.10', '2016.11.3', '2016.11.6', '2016.3.4', '2016.3.6', '2016.3.8', '2017.7.4', '2017.7.8', '2018.3.5', '2019.2.5', '3000.3']"
CVE-2021-29536,INDEP_CONTRADICTION,N,N,0.0471,cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-PyPI;pypa,tensorflow:tensorflow,TensorFlow is an end-to-end open source platform for machine learning. An attacker can cause a heap buffer overflow in `QuantizedReshape` by passing in invalid thresholds for the quantization. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/a324ac84e573fba362a5e53d4e,BIT-TENSORFLOW-2021-29536;GHSA-2GFX-95X2-5V3X;PYSEC-2021-173;PYSEC-2021-464;PYSEC-2021-662,,,,"package=tensorflow ghsa-reviewed-fixes=['2.1.4', '2.2.3', '2.3.3', '2.4.2'] pypa-fixes=['2.2.0rc0', '2.3.0rc0', '2.3.4', '2.4.3']"
CVE-2021-29536,INDEP_CONTRADICTION,N,N,0.0471,cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-PyPI;pypa,tensorflow:tensorflow,TensorFlow is an end-to-end open source platform for machine learning. An attacker can cause a heap buffer overflow in `QuantizedReshape` by passing in invalid thresholds for the quantization. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/a324ac84e573fba362a5e53d4e,BIT-TENSORFLOW-2021-29536;GHSA-2GFX-95X2-5V3X;PYSEC-2021-173;PYSEC-2021-464;PYSEC-2021-662,,,,"package=tensorflow-cpu ghsa-reviewed-fixes=['2.1.4', '2.2.3', '2.3.3', '2.4.2'] pypa-fixes=['2.2.0rc0', '2.3.0rc0', '2.3.4', '2.4.3']"
CVE-2021-29536,INDEP_CONTRADICTION,N,N,0.0471,cve-project;epss;ghsa-reviewed;osv-Bitnami;osv-GIT;osv-PyPI;pypa,tensorflow:tensorflow,TensorFlow is an end-to-end open source platform for machine learning. An attacker can cause a heap buffer overflow in `QuantizedReshape` by passing in invalid thresholds for the quantization. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/a324ac84e573fba362a5e53d4e,BIT-TENSORFLOW-2021-29536;GHSA-2GFX-95X2-5V3X;PYSEC-2021-173;PYSEC-2021-464;PYSEC-2021-662,,,,"package=tensorflow-gpu ghsa-reviewed-fixes=['2.1.4', '2.2.3', '2.3.3', '2.4.2'] pypa-fixes=['2.2.0rc0', '2.3.0rc0', '2.3.4', '2.4.3']"
